artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,review_status,notes
GA-README-001,README.md,packet_readme,concept_summary,concept_only,,none,self_checked,"L2 status and concept boundary; no fabrication or tuning authority."
GA-DESIGN-001,design.md,design_note,mechanism_concept,concept_only,README.md,none,self_checked,"Mechanism and measurement gates only."
GA-BOM-001,bom.csv,bom_estimate,planning_inventory,pending_measurement,design.md,none,self_checked,"Estimated part classes; sourcing and specifications are pending measurement."
GA-CUT-001,cut-list.csv,cut_list,planning_inventory,pending_measurement,design.md,none,self_checked,"Candidate part ledger only; every geometry and quantity remains pending measured bowl and drive data."
GA-DECISION-001,decision-record.md,decision_record,concept_decisions,concept_only,design.md,none,self_checked,"Design-study decisions and open questions."
GA-MCP-001,cad/mcp-session-log.md,provenance_log,qmd_and_tooling,pending_measurement,README.md,none,self_checked,"QMD and external-tool provenance stub; no MCP/CAD session created geometry."
GA-WL-STARTER-001,glass-armonica-starter.wl,design_table,design_table,reference_only,wolfram/glass-armonica-wolfram-model.wl,none,self_checked,"Thin Wolfram loader; source code only and not fabrication authority."
GA-WL-MODEL-001,wolfram/glass-armonica-wolfram-model.wl,design_table,design_table,reference_only,README.md,none,self_checked,"Parametric symbolic acoustic model with estimate placeholders only; pending measurement and not fabrication authority."
GA-SRC-001,sourcing.csv,design_table,sourcing,pending_measurement,design.md,none,self_checked,"V5 baseline scaffold; every item TBD pending coupon-test evidence."
GA-VAL-001,validation.csv,measurement_template,measurement_template,pending_measurement,design.md,none,self_checked,"V5 baseline scaffold; measurement gates from design.md Measurement Gates, all measured/result cells TBD."
GA-RISK-001,risks.md,measurement_template,concept,concept_only,design.md,none,self_checked,"V5 baseline scaffold consolidating design.md Risks section into a standalone file."
GA-DWG-001,drawing-brief.md,drawing,drawing_stub,pending_measurement,design.md,placeholder,self_checked,"V5 baseline scaffold; no dimensioned drawings exist yet, all gated on coupon-test evidence."
GA-CAD-001,cad/glass-armonica.scad,cad_source,cad_authoring,pending_measurement,design.md,assumption,self_checked,"Non-dimensional spindle + graded bowl array bounding envelope (bench-planning layout only). Renders clean in OpenSCAD. Bowl wall/rim profile, mount interface geometry, and drive ratio explicitly out of scope. Not fabrication authority until reviewed against a measured reference or design table."
